Platform,Year,Genre,Publisher
GB,2000,Role-Playing,Nintendo
X360,2009,Shooter,Microsoft Game Studios
X360,2010,Action,Take-Two Interactive
GC,2002,Platform,Nintendo
SNES,1992,Fighting,Capcom
PC,2004,Role-Playing,Activision
PS,1999,Action,GT Interactive
X360,2010,Sports,Microsoft Game Studios
X360,2011,Shooter,Microsoft Game Studios
X360,2006,Shooter,Microsoft Game Studios
PS2,2001,Action,Konami Digital Entertainment
GEN,1992,Platform,Sega
PS3,2008,Action,Konami Digital Entertainment
PS,1998,Action,Konami Digital Entertainment
PS3,2013,Action,Sony Computer Entertainment Europe
PS2,2006,Role-Playing,Square Enix
PS3,2008,Platform,Sony Computer Entertainment
DS,2009,Role-Playing,Nintendo
Wii,2007,Action,LucasArts
PS,1998,Action,Virgin Interactive
PS,1996,Fighting,Sony Computer Entertainment
DS,2006,Simulation,505 Games
PS4,2014,Shooter,Activision
NES,1988,Puzzle,Nintendo
PS3,2009,Action,Ubisoft
N64,1999,Fighting,Nintendo
X360,2007,Adventure,Ubisoft
PS3,2011,Action,Warner Bros. Interactive Entertainment
X360,2009,Racing,Microsoft Game Studios
PSP,2008,Role-Playing,Capcom
GBA,2001,Platform,Nintendo
GBA,2001,Racing,Nintendo
GBA,2001,Platform,Nintendo
N64,1999,Strategy,Nintendo
PS3,2008,Shooter,Activision
PS2,2001,Platform,Universal Interactive
PS3,2014,Misc,Sony Computer Entertainment
PS3,2009,Role-Playing,Square Enix
GB,1989,Puzzle,Nintendo
GB,1999,Misc,Nintendo
X360,2012,Action,Ubisoft
PS,2000,Role-Playing,SquareSoft
PS2,2003,Role-Playing,Electronic Arts
N64,1999,Platform,Nintendo
X360,2009,Action,Ubisoft
DS,2007,Puzzle,Nintendo
PS,1997,Action,Eidos Interactive
PS2,N/A,Sports,Electronic Arts
PS2,2004,Role-Playing,Square Enix
PC,2012,Role-Playing,Activision
GBA,2003,Platform,Nintendo
WiiU,2012,Platform,Nintendo
GB,1994,Platform,Nintendo
X360,2012,Action,Electronic Arts
DS,2007,Action,Nintendo
SNES,1995,Platform,Nintendo
3DS,2013,Simulation,Nintendo
DS,2008,Sports,Sega
PS2,2003,Shooter,Electronic Arts
GB,1992,Platform,Nintendo
X360,2010,Role-Playing,Microsoft Game Studios
XOne,2014,Shooter,Activision
PC,1996,Simulation,Microsoft Game Studios
PS2,2006,Misc,RedOctane
PS3,2009,Action,Capcom
XOne,2014,Action,Take-Two Interactive
PSP,2006,Action,Take-Two Interactive
PS3,2010,Sports,Electronic Arts
GB,1999,Platform,Nintendo
PS,1996,Action,Virgin Interactive
PS,1999,Sports,Activision
WiiU,2014,Fighting,Nintendo
PS,1999,Strategy,Eidos Interactive
PS,1998,Platform,Sony Computer Entertainment
Wii,2007,Shooter,Nintendo
PS2,2007,Misc,Activision
X360,2008,Role-Playing,Bethesda Softworks
DS,2007,Role-Playing,Nintendo
PS3,2007,Action,Sony Computer Entertainment
PS2,2005,Sports,Electronic Arts
DS,2007,Action,LucasArts
N64,1997,Racing,Nintendo
PSP,2010,Role-Playing,Capcom
NES,1990,Puzzle,Nintendo
PS3,2010,Action,Sony Computer Entertainment
PC,2010,Strategy,Activision
PS3,2007,Adventure,Ubisoft
PS3,2014,Sports,Electronic Arts
PS,1999,Racing,Sony Computer Entertainment
PS4,2016,Sports,Electronic Arts
X360,2011,Action,Warner Bros. Interactive Entertainment
PS,2000,Action,Atari
PS2,2003,Racing,Vivendi Games
PS,2000,Sports,Activision
Wii,2008,Simulation,Nintendo
PS2,2002,Action,Electronic Arts
X360,2011,Racing,Microsoft Game Studios
PS,1996,Action,Eidos Interactive
Wii,2007,Misc,Activision
SNES,1991,Action,Nintendo
GC,2002,Action,Nintendo
Wii,2009,Sports,Sega
3DS,2013,Action,Nintendo
WiiU,2015,Shooter,Nintendo
PS4,2014,Action,Sony Computer Entertainment
X360,2007,Misc,Activision
PS2,2004,Sports,Electronic Arts
2600,1981,Platform,Activision
PS2,2006,Sports,Electronic Arts
PS2,2002,Action,Activision
PS,2000,Role-Playing,Enix Corporation
PS4,2015,Action,Sony Computer Entertainment
PS3,2014,Shooter,Activision
PS2,2005,Action,Sony Computer Entertainment
WiiU,2012,Misc,Nintendo
Wii,2010,Misc,Ubisoft
PS2,2001,Sports,Activision
PS2,2006,Sports,Konami Digital Entertainment
X360,2006,Role-Playing,Take-Two Interactive
NES,1987,Adventure,Nintendo
PS2,2005,Racing,Electronic Arts
PS3,2006,Shooter,Sony Computer Entertainment
GEN,1991,Platform,Sega
PS2,2005,Role-Playing,Square Enix
X360,2013,Sports,Electronic Arts
X360,2014,Shooter,Activision
2600,1980,Shooter,Atari
X360,2008,Role-Playing,Microsoft Game Studios
XOne,2015,Shooter,Microsoft Game Studios
WiiU,2013,Platform,Nintendo
PS3,2009,Action,Eidos Interactive
PS3,2011,Action,Ubisoft
GBA,2001,Misc,Namco Bandai Games
PS2,2004,Action,Konami Digital Entertainment
PSP,2006,Platform,Sony Computer Entertainment
PC,1995,Strategy,Activision
3DS,2011,Action,Nintendo
PS2,2005,Sports,Electronic Arts
PS2,2003,Misc,Sony Computer Entertainment
PS4,2016,Shooter,Sony Computer Entertainment
PS3,2007,Racing,Sony Computer Entertainment
X360,2011,Action,Ubisoft
PS3,2009,Fighting,Capcom
X360,2011,Sports,Electronic Arts
NES,1989,Action,Palcom
NES,1984,Racing,Nintendo
PS,1997,Action,Hasbro Interactive
PS2,2002,Sports,Electronic Arts
PS4,2014,Action,Ubisoft
PC,1997,Shooter,Vivendi Games
SNES,1995,Platform,Nintendo
PS2,2006,Sports,Electronic Arts
Wii,2011,Action,Nintendo
SNES,1992,Fighting,Capcom
Wii,2007,Misc,Take-Two Interactive
XOne,2015,Role-Playing,Bethesda Softworks
PC,2007,Role-Playing,Activision
X360,2010,Role-Playing,Bethesda Softworks
PS2,2007,Action,Sony Computer Entertainment
X360,2007,Racing,Microsoft Game Studios
PS2,2005,Sports,Konami Digital Entertainment
PS,1996,Misc,Sony Computer Entertainment
PS2,2000,Fighting,Namco Bandai Games
PS4,2014,Shooter,Ubisoft
N64,1997,Shooter,Nintendo
PS4,2014,Misc,Sony Computer Entertainment Europe
NES,1984,Sports,Nintendo
PS3,2008,Role-Playing,Bethesda Softworks
DS,2007,Puzzle,Nintendo
X360,2009,Shooter,Electronic Arts
PS2,2005,Misc,Namco Bandai Games
Wii,2009,Sports,Electronic Arts
PS4,2014,Action,Ubisoft
GB,1994,Platform,Nintendo
PS2,2003,Sports,Activision
PS3,2013,Action,Ubisoft
3DS,2014,Role-Playing,Nintendo
PS3,2006,Racing,Sony Computer Entertainment
PC,2011,Role-Playing,Bethesda Softworks
PS2,2005,Fighting,Namco Bandai Games
NES,1988,Role-Playing,Enix Corporation
PS3,2010,Sports,Sony Computer Entertainment
PS4,2015,Sports,Take-Two Interactive
PS2,2004,Sports,Konami Digital Entertainment
DS,2007,Misc,Nintendo
PS,1995,Misc,Sony Computer Entertainment
GB,1992,Action,Nintendo
DS,2009,Role-Playing,Nintendo
Wii,2007,Misc,Nintendo
3DS,2011,Simulation,Nintendo
PS4,2015,Action,Warner Bros. Interactive Entertainment
Wii,2011,Sports,Sega
X360,2008,Action,Activision
PS,1996,Action,Virgin Interactive
PSP,2007,Platform,Sony Computer Entertainment
Wii,2013,Misc,Ubisoft
PC,2002,Simulation,Electronic Arts
Wii,2007,Platform,Nintendo
PS,2001,Action,Electronic Arts
PS4,2015,Role-Playing,Namco Bandai Games
PS,1999,Action,Eidos Interactive
PS,2000,Platform,Sony Computer Entertainment
PS2,2004,Sports,Electronic Arts
GB,1998,Strategy,Nintendo
PS3,2013,Shooter,Electronic Arts
DS,2007,Simulation,Electronic Arts
DS,2009,Misc,Nintendo
PS2,2002,Sports,Activision
PSP,2005,Racing,Take-Two Interactive
N64,1998,Platform,Nintendo
PS2,2002,Shooter,Sony Computer Entertainment
Wii,2008,Misc,Activision
PS3,2013,Racing,Sony Computer Entertainment
PS2,2001,Platform,Sony Computer Entertainment
N64,1999,Simulation,Nintendo
PS3,2009,Sports,Electronic Arts
PS2,2007,Sports,Konami Digital Entertainment
PS4,2013,Shooter,Activision
PS2,2005,Action,Capcom
PS4,2016,Shooter,Ubisoft
PS2,2004,Shooter,LucasArts
PC,1994,Shooter,Virgin Interactive
PS2,2001,Racing,Electronic Arts
DS,2007,Simulation,505 Games
GC,2001,Action,Nintendo
PS2,2005,Shooter,LucasArts
PS,2000,Fighting,THQ
PS,1997,Platform,Fox Interactive
PS2,2006,Action,Take-Two Interactive
PS2,2002,Action,Sony Computer Entertainment
PS,1997,Action,Eidos Interactive
PS2,2001,Shooter,Electronic Arts
PS2,2005,Action,Eidos Interactive
X360,2013,Shooter,Electronic Arts
X360,2010,Sports,Electronic Arts
PS,2000,Action,THQ
PS,1999,Platform,Sony Computer Entertainment
X360,2008,Shooter,Electronic Arts
DS,2009,Sports,Sega
X360,2009,Action,Capcom
SNES,1996,Platform,Nintendo
X360,2010,Action,Ubisoft
NES,1985,Action,Nintendo
X360,2009,Action,Eidos Interactive
DS,2006,Misc,Nintendo
PS2,N/A,Sports,Electronic Arts
XOne,2015,Shooter,Electronic Arts
X360,2010,Shooter,Electronic Arts
DS,2008,Misc,Activision
XOne,2014,Action,Ubisoft
PS3,2012,Shooter,Ubisoft
3DS,2013,Role-Playing,Capcom
X360,2009,Shooter,Take-Two Interactive
PS2,2002,Fighting,Namco Bandai Games
PS4,2013,Shooter,Electronic Arts
PS3,2011,Platform,Sony Computer Entertainment
PS,1998,Action,Take-Two Interactive
SNES,1994,Role-Playing,SquareSoft
PS2,2004,Action,Activision
GB,1990,Racing,Nintendo
PS2,2002,Sports,Electronic Arts
PS,2000,Misc,Sony Computer Entertainment
X360,2008,Action,Warner Bros. Interactive Entertainment
PS4,2015,Action,Konami Digital Entertainment
DS,2009,Action,Nintendo
PS,1998,Fighting,Acclaim Entertainment
N64,2000,Action,Nintendo
DS,2008,Puzzle,Nintendo
PS,1998,Adventure,THQ
X360,2013,Action,Ubisoft
DS,2006,Misc,Nintendo
PS2,2002,Shooter,Electronic Arts
PS2,2002,Platform,Sony Computer Entertainment
Wii,2012,Misc,Nintendo
PS2,2005,Action,LucasArts
PS2,2001,Shooter,Take-Two Interactive
PS2,2003,Action,Electronic Arts
PS4,2015,Action,Ubisoft
XOne,2014,Shooter,Activision
PS2,2003,Action,Activision
Wii,2008,Misc,Nintendo
PSP,2009,Racing,Sony Computer Entertainment
3DS,2015,Action,Capcom
PS,1995,Fighting,Sony Computer Entertainment
XOne,2015,Sports,Electronic Arts
PS3,2011,Adventure,Take-Two Interactive
PS4,2015,Sports,Electronic Arts
3DS,2014,Role-Playing,Nintendo
PS,1999,Shooter,Electronic Arts
NES,1983,Sports,Nintendo
SNES,1995,Fighting,Nintendo
PS,2000,Fighting,THQ
PSP,2007,Role-Playing,Square Enix
PSP,2008,Action,Sony Computer Entertainment
SNES,1995,Role-Playing,Enix Corporation
X360,2010,Misc,MTV Games
PS2,2003,Action,Atari
WiiU,2015,Platform,Nintendo
PS3,2010,Role-Playing,Bethesda Softworks
Wii,N/A,Action,Warner Bros. Interactive Entertainment
DS,2008,Misc,Nintendo
PS2,2001,Simulation,Sony Computer Entertainment Europe
DS,2008,Adventure,Disney Interactive Studios
GC,2001,Simulation,Nintendo
DS,2008,Action,Warner Bros. Interactive Entertainment
DS,2005,Platform,Sega
PS3,2012,Shooter,Capcom
XOne,2014,Shooter,Microsoft Game Studios
PS2,2007,Sports,Electronic Arts
PS,2000,Action,Activision
PS,1998,Racing,Electronic Arts
N64,1999,Racing,Nintendo
DS,2006,Misc,Nintendo
PS3,2007,Role-Playing,Ubisoft
NES,1990,Role-Playing,Enix Corporation
PS3,2010,Adventure,Sony Computer Entertainment
X360,2010,Role-Playing,Electronic Arts
X360,2014,Sports,Electronic Arts
PS2,2002,Fighting,Atari
PS2,2001,Sports,Electronic Arts
NES,1986,Sports,Namco Bandai Games
X360,2012,Shooter,Take-Two Interactive
3DS,2013,Action,Nintendo
GB,1994,Platform,Nintendo
PC,2002,Simulation,Electronic Arts
X360,2012,Role-Playing,Electronic Arts
X360,2008,Action,Activision
X360,2012,Shooter,Ubisoft
Wii,2010,Platform,Disney Interactive Studios
X360,2008,Action,THQ
PS,1995,Platform,Ubisoft
PS3,2009,Shooter,Sony Computer Entertainment
XB,2002,Action,Ubisoft
NES,1987,Fighting,Nintendo
PS2,2002,Sports,THQ
XOne,2015,Shooter,Microsoft Game Studios
X360,2012,Sports,Take-Two Interactive
PS2,2007,Fighting,Atari
PS2,N/A,Fighting,N/A
PS4,2014,Action,Warner Bros. Interactive Entertainment
SNES,1993,Shooter,Nintendo
PC,2000,Misc,Electronic Arts
PS2,2002,Sports,Konami Digital Entertainment
PS2,2001,Action,Capcom
3DS,2015,Simulation,Nintendo
PS3,2010,Shooter,Electronic Arts
PC,2014,Simulation,Electronic Arts
PC,2011,Role-Playing,Electronic Arts
PS2,2003,Platform,Sega
DS,2008,Platform,Nintendo
PS2,2002,Action,Eidos Interactive
X360,2009,Fighting,Capcom
N64,1996,Racing,Nintendo
PS2,2003,Shooter,Sony Computer Entertainment
PS2,2005,Fighting,THQ
PS3,2009,Action,Sony Computer Entertainment
GBA,2001,Puzzle,Atari
X360,2007,Role-Playing,Microsoft Game Studios
Wii,2006,Puzzle,Nintendo
Wii,2007,Simulation,505 Games
GBA,2002,Platform,Nintendo
PS4,2013,Sports,Electronic Arts
XOne,2014,Shooter,Electronic Arts
PS2,2004,Misc,Sega
X360,2008,Sports,Sega
PS2,2003,Sports,Konami Digital Entertainment
PS3,2012,Racing,Electronic Arts
PS2,2001,Sports,Sony Computer Entertainment
PS2,2004,Shooter,Activision
Wii,2011,Sports,Majesco Entertainment
PS,1999,Shooter,Sony Computer Entertainment
DS,2007,Simulation,Ubisoft
PS,1998,Racing,Codemasters
XOne,2013,Shooter,Activision
X360,2012,Sports,Electronic Arts
XB,2002,Role-Playing,Ubisoft
PS3,2011,Fighting,Warner Bros. Interactive Entertainment
SNES,1990,Racing,Nintendo
N64,1997,Platform,Nintendo
PC,1996,Strategy,Virgin Interactive
Wii,2011,Action,Activision
PS3,2015,Sports,Electronic Arts
PS3,2010,Action,Ubisoft
X360,2007,Shooter,Take-Two Interactive
X360,2009,Sports,Electronic Arts
PS3,2010,Shooter,Electronic Arts
PS2,2002,Fighting,THQ
GC,2002,Shooter,Nintendo
GBA,2003,Action,THQ
PC,1994,Adventure,Red Orb
PS3,2010,Racing,Electronic Arts
DS,2007,Simulation,Ubisoft
PS2,2003,Fighting,THQ
X360,2008,Action,LucasArts
DS,2006,Platform,Nintendo
PS,1997,Sports,Sony Computer Entertainment
PS3,2011,Shooter,Sony Computer Entertainment
PS,1998,Platform,Sony Computer Entertainment
PS2,2001,Fighting,THQ
SNES,1992,Role-Playing,Enix Corporation
PS,1996,Fighting,GT Interactive
PC,2011,Shooter,Electronic Arts
PS2,2001,Sports,Electronic Arts
DS,2009,Puzzle,Nintendo
3DS,2011,Role-Playing,Nintendo
PS2,2003,Platform,Sony Computer Entertainment
PS4,2014,Action,Sony Computer Entertainment
PS2,2003,Platform,Sony Computer Entertainment
PS3,2009,Fighting,Namco Bandai Games
PS2,2003,Simulation,Electronic Arts
Wii,2007,Platform,Sega
X360,2011,Action,THQ
2600,1980,Shooter,Atari
SNES,1992,Misc,Nintendo
PS4,2013,Action,Ubisoft
N64,2000,Strategy,Nintendo
NES,1986,Action,Nintendo
X360,2011,Adventure,Take-Two Interactive
X360,2006,Shooter,Activision
GBA,2002,Action,Nintendo
PS2,2001,Action,Virgin Interactive
PS4,2015,Fighting,Warner Bros. Interactive Entertainment
N64,1998,Misc,Nintendo
X360,2011,Sports,Electronic Arts
PS2,2006,Action,LucasArts
X360,2010,Sports,Electronic Arts
DS,2010,Puzzle,Nintendo
X360,2010,Sports,Electronic Arts
PS2,2004,Racing,Electronic Arts
3DS,2014,Role-Playing,Level 5
PS3,2009,Racing,Electronic Arts
PS3,2011,Role-Playing,Square Enix
GEN,1992,Fighting,Arena Entertainment
PS2,2005,Shooter,Activision
X360,2008,Misc,Activision
PS,1998,Shooter,Electronic Arts
XB,2004,Role-Playing,Microsoft Game Studios
DS,2006,Action,Disney Interactive Studios
PS2,2003,Action,Ubisoft
Wii,2012,Action,Activision
PSP,2006,Shooter,Electronic Arts
NES,1986,Platform,Nintendo
N64,1996,Action,Nintendo
X360,2007,Action,LucasArts
PS2,2000,Racing,Take-Two Interactive
PSP,2006,Fighting,Sony Computer Entertainment
X360,2009,Strategy,Microsoft Game Studios
PS3,2009,Action,Sony Computer Entertainment
PS2,2004,Sports,Sega
Wii,2007,Sports,Nintendo
X360,2010,Shooter,Electronic Arts
X360,2009,Sports,Electronic Arts
X360,2011,Sports,Take-Two Interactive
DS,2008,Simulation,Nintendo
PS2,2002,Action,Electronic Arts
Wii,2010,Platform,Nintendo
GEN,1990,Action,Sega
PS3,2008,Sports,Electronic Arts
PS3,2007,Platform,Sony Computer Entertainment
PS2,2004,Sports,Electronic Arts
PSP,2009,Platform,Sony Computer Entertainment
PS4,2013,Shooter,Sony Computer Entertainment
X360,2009,Action,Take-Two Interactive
PSP,2007,Role-Playing,Capcom
PS2,2006,Fighting,THQ
PS2,2004,Platform,Sony Computer Entertainment
DS,2010,Misc,Nintendo
X360,2009,Role-Playing,Electronic Arts
PS2,2007,Sports,Electronic Arts
GC,2001,Platform,Sega
NES,1987,Role-Playing,Enix Corporation
PS3,2012,Sports,Electronic Arts
GC,2003,Role-Playing,Nintendo
Wii,2008,Sports,Konami Digital Entertainment
X360,2008,Sports,Electronic Arts
2600,N/A,Shooter,Atari
PS2,2001,Racing,Acclaim Entertainment
N64,2000,Action,Nintendo
Wii,2007,Misc,Midway Games
NES,1986,Role-Playing,Capcom
PS3,2013,Action,Square Enix
X360,2006,Role-Playing,Activision
PS2,2008,Sports,Konami Digital Entertainment
N64,1999,Misc,Nintendo
PS3,2011,Action,THQ
XB,2003,Action,Take-Two Interactive
Wii,2010,Action,Warner Bros. Interactive Entertainment
PS2,2002,Fighting,Midway Games
PS3,2008,Shooter,Sony Computer Entertainment
X360,2008,Racing,Disney Interactive Studios
PS,1998,Action,Eidos Interactive
PS3,2012,Sports,Take-Two Interactive
X360,N/A,Misc,Electronic Arts
X360,2013,Sports,Take-Two Interactive
GC,2002,Misc,Nintendo
Wii,2010,Misc,THQ
PS3,2008,Racing,Take-Two Interactive
SNES,1992,Role-Playing,SquareSoft
PS,1997,Role-Playing,SquareSoft
PS,1996,Racing,Sony Computer Entertainment
X360,2011,Shooter,Microsoft Game Studios
PSP,2006,Racing,Electronic Arts
PS2,2003,Simulation,Electronic Arts
PC,1997,Adventure,Red Orb
X360,2008,Shooter,Ubisoft
DC,1998,Platform,Sega
NES,1988,Sports,Nintendo
PS3,2010,Sports,Konami Digital Entertainment
PS2,2003,Fighting,Atari
PS2,2001,Racing,Sony Computer Entertainment
PS,1998,Action,Capcom
XOne,2014,Misc,Microsoft Game Studios
PS2,2007,Racing,Electronic Arts
XOne,2015,Sports,Electronic Arts
PS,1996,Puzzle,JVC
NES,1987,Fighting,Nintendo
PC,1997,Strategy,Electronic Arts
GBA,N/A,Adventure,Konami Digital Entertainment
PS4,2015,Racing,Electronic Arts
X360,2010,Sports,505 Games
Wii,N/A,Action,LucasArts
PC,1994,Misc,Hasbro Interactive
PS3,2013,Action,Warner Bros. Interactive Entertainment
X360,2011,Action,Deep Silver
PS2,2005,Misc,RedOctane
PS3,2007,Action,LucasArts
X360,2011,Misc,Microsoft Game Studios
N64,1998,Fighting,THQ
PS4,2015,Action,Sony Computer Entertainment
PS4,2014,Sports,Take-Two Interactive
PS3,2010,Sports,Electronic Arts
PS2,2001,Misc,Konami Digital Entertainment
X360,2007,Sports,Electronic Arts
PC,2004,Shooter,Vivendi Games
PS2,2004,Action,THQ
PS2,2004,Sports,Activision
PS3,2009,Sports,Electronic Arts
X360,2011,Sports,Microsoft Game Studios
GB,1995,Platform,Nintendo
DS,2010,Action,Warner Bros. Interactive Entertainment
GB,1996,Platform,Nintendo
GB,1998,Role-Playing,Eidos Interactive
X360,2008,Racing,Take-Two Interactive
Wii,2013,Platform,Activision
PS2,2007,Fighting,THQ
Wii,2008,Sports,Ubisoft
PS2,2001,Action,Capcom
X360,2010,Simulation,Electronic Arts
3DS,2015,Action,Nintendo
XOne,2015,Sports,Take-Two Interactive
Wii,2010,Misc,Ubisoft
N64,2000,Sports,Nintendo
PS,1997,Action,Take-Two Interactive
PS2,2004,Shooter,Electronic Arts
DS,2004,Puzzle,Nintendo
PS,1999,Racing,Electronic Arts
SNES,1995,Role-Playing,SquareSoft
PS,1998,Sports,989 Studios
X360,2013,Action,Warner Bros. Interactive Entertainment
PC,2012,Action,NCSoft
DS,2008,Role-Playing,Nintendo
PS3,2011,Action,Deep Silver
PC,1997,Action,Eidos Interactive
PS3,2013,Action,Sony Computer Entertainment
XB,2004,Racing,Electronic Arts
PS3,2009,Sports,Konami Digital Entertainment
Wii,2014,Misc,Ubisoft
3DS,2015,Action,Level 5
NES,1983,Platform,Nintendo
PS2,2008,Sports,Electronic Arts
PS3,2008,Action,LucasArts
PS3,2012,Shooter,Take-Two Interactive
PS,1997,Racing,Codemasters
3DS,2012,Role-Playing,Nintendo
PS3,2009,Misc,Sega
Wii,2006,Misc,Sega
GBA,2002,Platform,Nintendo
GBA,2001,Platform,Nintendo
PS3,2007,Misc,Activision
Wii,N/A,Shooter,Activision
Wii,2007,Action,Capcom
PSV,2014,Misc,Sony Computer Entertainment Europe
PS2,2002,Adventure,Capcom
PS,1997,Sports,UEP Systems
GC,2004,Role-Playing,Nintendo
PS3,2011,Sports,Electronic Arts
Wii,2009,Role-Playing,Nintendo
PSP,2008,Fighting,Square Enix
GBA,2001,Platform,Sega
GBA,2001,Platform,Vivendi Games
NES,1990,Action,Konami Digital Entertainment
DS,2008,Action,Activision
PS2,2009,Simulation,Konami Digital Entertainment
WiiU,2013,Platform,Nintendo
PS2,2003,Action,Ubisoft
DS,2009,Puzzle,Warner Bros. Interactive Entertainment
GB,1998,Adventure,Nintendo
X360,2010,Racing,Electronic Arts
X360,2010,Shooter,Take-Two Interactive
XOne,2013,Action,Ubisoft
PS2,2006,Action,Capcom
X360,2008,Misc,Electronic Arts
2600,1981,Action,Parker Bros.
X360,2007,Misc,Activision
GB,2000,Platform,Nintendo
NES,1986,Sports,Namco Bandai Games
Wii,2008,Platform,Sega
DS,2007,Puzzle,Disney Interactive Studios
PS3,2011,Action,Konami Digital Entertainment
X360,2006,Action,THQ
XB,2003,Role-Playing,Activision
GB,1992,Misc,Nintendo
GB,2000,Platform,Nintendo
PS3,2012,Action,Square Enix
GB,2000,Role-Playing,Konami Digital Entertainment
PS2,2002,Racing,THQ
XOne,2013,Racing,Microsoft Game Studios
